Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,8.680947996077942
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.158194277738701
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,12.413037716737303
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.21339635160085
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,8.557644308367726
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,8.509303630415655
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,8.31088634592222
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.531049789437623
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,7.488195095925142
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,7.365151316210322
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,39.21094806055532
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,38.72212065237157
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,38.82387468732024
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,full_dataset,8764,167,8760,8760,8760,22548,17518,66346,100.0,0.0,20.974678017520464
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,own_events,6934,167,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,20.969260601855364
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,rbatheta_events,5696,167,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,21.103929514347133
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,full_dataset,8764,167,8760,8760,8760,22548,17518,66346,100.0,0.0,22.812933811805014
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,own_events,6934,167,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,22.8810881430665
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,rbatheta_events,5696,167,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,24.09099601970738
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,full_dataset,8764,167,8760,8760,8760,22548,17518,66346,100.0,0.0,20.241245377297886
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,own_events,6934,167,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,20.360171445067287
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,rbatheta_events,5696,167,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,20.397356317867608
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,full_dataset,8764,167,8760,8760,8760,22548,17518,66346,100.0,0.0,19.599338925981343
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,own_events,6934,167,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,19.722136534642285
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,rbatheta_events,5696,167,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,19.984154862932535
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,full_dataset,8764,167,8760,8760,8760,22548,17518,66346,100.0,0.0,42.74730828118134
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,own_events,6934,167,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,42.66323547321699
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,rbatheta_events,5696,167,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,43.74836302775096
