Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,13.146551212601482
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.272985854829999
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.089646373322166
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,11.968899955641561
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.898939840664042
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,47.239374768700316
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,47.27251911150578
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,46.240753156179835
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,8.736257172460164
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,8.749730442792359
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,8.680947996077942
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.158194277738701
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,11.657623144575929
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.21339635160085
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,8.557644308367728
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,8.638633145499078
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,8.31088634592222
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.531049789437623
