"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|FR","Without Sequence","52.51","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|FR","Without Sequence","52.51","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|FR","Without Sequence","52.51","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|FR","Without Sequence","93.30","",""
"02/01/2025 06:15:00 - 02/01/2025 06:30:00","BZN|FR","Without Sequence","93.30","",""
"02/01/2025 06:30:00 - 02/01/2025 06:45:00","BZN|FR","Without Sequence","93.30","",""
"02/01/2025 06:45:00 - 02/01/2025 07:00:00","BZN|FR","Without Sequence","93.30","",""
"02/01/2025 07:00:00 - 02/01/2025 07:15:00","BZN|FR","Without Sequence","120.03","",""
"02/01/2025 07:15:00 - 02/01/2025 07:30:00","BZN|FR","Without Sequence","120.03","",""
"02/01/2025 07:30:00 - 02/01/2025 07:45:00","BZN|FR","Without Sequence","120.03","",""
"02/01/2025 07:45:00 - 02/01/2025 08:00:00","BZN|FR","Without Sequence","120.03","",""
"02/01/2025 08:00:00 - 02/01/2025 08:15:00","BZN|FR","Without Sequence","135.52","",""
"02/01/2025 08:15:00 - 02/01/2025 08:30:00","BZN|FR","Without Sequence","135.52","",""
"02/01/2025 08:30:00 - 02/01/2025 08:45:00","BZN|FR","Without Sequence","135.52","",""
"02/01/2025 08:45:00 - 02/01/2025 09:00:00","BZN|FR","Without Sequence","135.52","",""
"02/01/2025 09:00:00 - 02/01/2025 09:15:00","BZN|FR","Without Sequence","136.48","",""
"02/01/2025 09:15:00 - 02/01/2025 09:30:00","BZN|FR","Without Sequence","136.48","",""
"02/01/2025 09:30:00 - 02/01/2025 09:45:00","BZN|FR","Without Sequence","136.48","",""
"02/01/2025 09:45:00 - 02/01/2025 10:00:00","BZN|FR","Without Sequence","136.48","",""
"02/01/2025 10:00:00 - 02/01/2025 10:15:00","BZN|FR","Without Sequence","129.04","",""
"02/01/2025 10:15:00 - 02/01/2025 10:30:00","BZN|FR","Without Sequence","129.04","",""
"02/01/2025 10:30:00 - 02/01/2025 10:45:00","BZN|FR","Without Sequence","129.04","",""
"02/01/2025 10:45:00 - 02/01/2025 11:00:00","BZN|FR","Without Sequence","129.04","",""
"02/01/2025 11:00:00 - 02/01/2025 11:15:00","BZN|FR","Without Sequence","125.70","",""
"02/01/2025 11:15:00 - 02/01/2025 11:30:00","BZN|FR","Without Sequence","125.70","",""
"02/01/2025 11:30:00 - 02/01/2025 11:45:00","BZN|FR","Without Sequence","125.70","",""
"02/01/2025 11:45:00 - 02/01/2025 12:00:00","BZN|FR","Without Sequence","125.70","",""
"02/01/2025 12:00:00 - 02/01/2025 12:15:00","BZN|FR","Without Sequence","125.72","",""
"02/01/2025 12:15:00 - 02/01/2025 12:30:00","BZN|FR","Without Sequence","125.72","",""
"02/01/2025 12:30:00 - 02/01/2025 12:45:00","BZN|FR","Without Sequence","125.72","",""
"02/01/2025 12:45:00 - 02/01/2025 13:00:00","BZN|FR","Without Sequence","125.72","",""
"02/01/2025 13:00:00 - 02/01/2025 13:15:00","BZN|FR","Without Sequence","119.30","",""
"02/01/2025 13:15:00 - 02/01/2025 13:30:00","BZN|FR","Without Sequence","119.30","",""
"02/01/2025 13:30:00 - 02/01/2025 13:45:00","BZN|FR","Without Sequence","119.30","",""
"02/01/2025 13:45:00 - 02/01/2025 14:00:00","BZN|FR","Without Sequence","119.30","",""
"02/01/2025 14:00:00 - 02/01/2025 14:15:00","BZN|FR","Without Sequence","124.65","",""
"02/01/2025 14:15:00 - 02/01/2025 14:30:00","BZN|FR","Without Sequence","124.65","",""
"02/01/2025 14:30:00 - 02/01/2025 14:45:00","BZN|FR","Without Sequence","124.65","",""
"02/01/2025 14:45:00 - 02/01/2025 15:00:00","BZN|FR","Without Sequence","124.65","",""
"02/01/2025 15:00:00 - 02/01/2025 15:15:00","BZN|FR","Without Sequence","130.11","",""
"02/01/2025 15:15:00 - 02/01/2025 15:30:00","BZN|FR","Without Sequence","130.11","",""
"02/01/2025 15:30:00 - 02/01/2025 15:45:00","BZN|FR","Without Sequence","130.11","",""
"02/01/2025 15:45:00 - 02/01/2025 16:00:00","BZN|FR","Without Sequence","130.11","",""
"02/01/2025 16:00:00 - 02/01/2025 16:15:00","BZN|FR","Without Sequence","139.50","",""
"02/01/2025 16:15:00 - 02/01/2025 16:30:00","BZN|FR","Without Sequence","139.50","",""
"02/01/2025 16:30:00 - 02/01/2025 16:45:00","BZN|FR","Without Sequence","139.50","",""
"02/01/2025 16:45:00 - 02/01/2025 17:00:00","BZN|FR","Without Sequence","139.50","",""
"02/01/2025 17:00:00 - 02/01/2025 17:15:00","BZN|FR","Without Sequence","153.40","",""
"02/01/2025 17:15:00 - 02/01/2025 17:30:00","BZN|FR","Without Sequence","153.40","",""
"02/01/2025 17:30:00 - 02/01/2025 17:45:00","BZN|FR","Without Sequence","153.40","",""
"02/01/2025 17:45:00 - 02/01/2025 18:00:00","BZN|FR","Without Sequence","153.40","",""
"02/01/2025 18:00:00 - 02/01/2025 18:15:00","BZN|FR","Without Sequence","153.15","",""
"02/01/2025 18:15:00 - 02/01/2025 18:30:00","BZN|FR","Without Sequence","153.15","",""
